Period,Index Type,Actual Number, Growth Rate(%)
2006M06,Health,87.5,4.44
2006M07,Health,87.46,2.89
2006M08,Health,87.42,1.15
2006M09,Health,87.49,1.21
2006M10,Health,87.84,1.28
2006M11,Health,87.85,1.34
2006M12,Health,87.93,1.2
2007M01,Health,87.87,1.02
2007M02,Health,88.01,1.06
2007M03,Health,89,2.12
2007M04,Health,90.23,3.26
2007M05,Health,92.22,5.53
2007M06,Health,92.05,5.2
2007M07,Health,92.38,5.63
2007M08,Health,92.63,5.96
2007M09,Health,92.82,6.09
2007M10,Health,92.89,5.75
2007M11,Health,92.73,5.55
2007M12,Health,92.53,5.23
2008M01,Health,92.78,5.59
2008M02,Health,92.84,5.49
2008M03,Health,93.17,4.69
2008M04,Health,93.33,3.44
2008M05,Health,93.38,1.26
2008M06,Health,93.35,1.41
2008M07,Health,93.47,1.18
2008M08,Health,93.71,1.17
2008M09,Health,93.8,1.06
2008M10,Health,93.76,0.94
2008M11,Health,93.91,1.27
2008M12,Health,93.9,1.48
2009M01,Health,93.51,0.79
2009M02,Health,93.74,0.97
2009M03,Health,93.73,0.6
2009M04,Health,93.79,0.49
2009M05,Health,93.66,0.3
2009M06,Health,94.42,1.15
2009M07,Health,94.55,1.16
2009M08,Health,94.4,0.74
2009M09,Health,94.24,0.47
2009M10,Health,93.94,0.19
2009M11,Health,93.92,0.01
2009M12,Health,94.06,0.17
2010M01,Health,94.1,0.63
2010M02,Health,94.06,0.34
2010M03,Health,94.25,0.55
2010M04,Health,94.53,0.79
2010M05,Health,94.48,0.88
2010M06,Health,94.38,-0.04
2010M07,Health,94.22,-0.35
2010M08,Health,94.35,-0.05
2010M09,Health,95.06,0.87
2010M10,Health,95.04,1.17
2010M11,Health,95.12,1.28
2010M12,Health,95.45,1.48
2011M01,Health,95.48,1.47
2011M02,Health,95.63,1.67
2011M03,Health,95.96,1.81
2011M04,Health,96.45,2.03
2011M05,Health,96.52,2.16
2011M06,Health,96.74,2.5
2011M07,Health,96.71,2.64
2011M08,Health,96.83,2.63
2011M09,Health,96.94,1.98
2011M10,Health,96.83,1.88
2011M11,Health,96.94,1.91
2011M12,Health,96.84,1.46
2012M01,Health,96.87,1.46
2012M02,Health,96.65,1.07
2012M03,Health,96.81,0.89
2012M04,Health,97.08,0.65
2012M05,Health,96.98,0.48
2012M06,Health,97.26,0.54
2012M07,Health,97.21,0.52
2012M08,Health,97.19,0.37
2012M09,Health,97.22,0.29
2012M10,Health,97.49,0.68
2012M11,Health,97.65,0.73
2012M12,Health,98.05,1.25
2013M01,Health,97.64,0.79
2013M02,Health,97.83,1.22
2013M03,Health,98.16,1.39
2013M04,Health,98.08,1.03
2013M05,Health,98.2,1.26
2013M06,Health,98.4,1.17
2013M07,Health,98.4,1.22
2013M08,Health,98.44,1.29
2013M09,Health,98.42,1.23
2013M10,Health,98.12,0.65
2013M11,Health,98.34,0.71
2013M12,Health,98.49,0.45
2014M01,Health,98.36,0.74
2014M02,Health,98.63,0.82
2014M03,Health,98.83,0.68
2014M04,Health,98.95,0.89
2014M05,Health,98.78,0.59
2014M06,Health,99.06,0.67
2014M07,Health,99.04,0.65
2014M08,Health,98.95,0.52
2014M09,Health,99.12,0.71
2014M10,Health,98.75,0.64
2014M11,Health,98.89,0.56
2014M12,Health,98.8,0.31
2015M01,Health,98.91,0.56
2015M02,Health,98.84,0.21
2015M03,Health,99.09,0.26
2015M04,Health,98.9,-0.05
2015M05,Health,98.81,0.03
2015M06,Health,99.03,-0.03
2015M07,Health,99.18,0.14
2015M08,Health,99.17,0.22
2015M09,Health,99.46,0.34
2015M10,Health,99.37,0.63
2015M11,Health,99.32,0.43
2015M12,Health,99.54,0.75
2016M01,Health,99.49,0.59
2016M02,Health,99.51,0.68
2016M03,Health,99.76,0.68
2016M04,Health,100.15,1.26
2016M05,Health,99.94,1.14
2016M06,Health,100,0.98
2016M07,Health,99.92,0.75
2016M08,Health,100.16,1
2016M09,Health,100.07,0.61
2016M10,Health,100.19,0.83
2016M11,Health,100.38,1.07
2016M12,Health,100.42,0.88
2017M01,Health,100.45,0.96
2017M02,Health,100.83,1.33
2017M03,Health,101.2,1.44
2017M04,Health,101.62,1.47
2017M05,Health,101.95,2.01
2017M06,Health,102,2
2017M07,Health,102,2.08
2017M08,Health,102.06,1.9
2017M09,Health,102.17,2.1
2017M10,Health,102.03,1.84
2017M11,Health,102.05,1.66
2017M12,Health,102.16,1.73
2018M01,Health,102.24,1.78
2018M02,Health,102.52,1.68
2018M03,Health,102.51,1.29
2018M04,Health,102.71,1.07
2018M05,Health,102.24,0.28
2018M06,Health,102.78,0.76
2018M07,Health,103.15,1.13
2018M08,Health,103.21,1.13
2018M09,Health,103.12,0.93
2018M10,Health,103.03,0.98
2018M11,Health,102.96,0.89
2018M12,Health,102.87,0.69
2019M01,Health,103.16,0.9
2019M02,Health,103.27,0.73
2019M03,Health,103.59,1.05
2019M04,Health,103.38,0.65
2019M05,Health,103.19,0.93
2019M06,Health,103.51,0.71
2000M12,Education & Entertainment,99.68,4.3
2001M01,Education & Entertainment,100.35,4.91
2001M02,Education & Entertainment,99.74,3.1
2001M03,Education & Entertainment,99.41,3.64
2001M04,Education & Entertainment,99.36,3.53
2001M05,Education & Entertainment,99.21,3.29
2001M06,Education & Entertainment,99.41,3.06
2001M07,Education & Entertainment,99.84,2.83
2001M08,Education & Entertainment,99.65,2.64
2001M09,Education & Entertainment,99.65,-0.19
2001M10,Education & Entertainment,99.69,-0.11
2001M11,Education & Entertainment,99.25,-0.36
2001M12,Education & Entertainment,99.2,-0.48
2002M01,Education & Entertainment,99.87,-0.48
2002M02,Education & Entertainment,100.12,0.38
2002M03,Education & Entertainment,99.61,0.2
2002M04,Education & Entertainment,99.62,0.26
2002M05,Education & Entertainment,99.52,0.31
2002M06,Education & Entertainment,99.67,0.26
2002M07,Education & Entertainment,100.12,0.28
2002M08,Education & Entertainment,99.87,0.22
2002M09,Education & Entertainment,99.61,-0.04
2002M10,Education & Entertainment,99.63,-0.06
2002M11,Education & Entertainment,99.25,0
2002M12,Education & Entertainment,99.18,-0.02
2003M01,Education & Entertainment,99.17,-0.7
2003M02,Education & Entertainment,99.06,-1.06
2003M03,Education & Entertainment,99.06,-0.55
2003M04,Education & Entertainment,98.7,-0.92
2003M05,Education & Entertainment,97.59,-1.94
2003M06,Education & Entertainment,97.2,-2.48
2003M07,Education & Entertainment,97.74,-2.38
2003M08,Education & Entertainment,98.17,-1.7
2003M09,Education & Entertainment,98.5,-1.11
2003M10,Education & Entertainment,98.57,-1.06
2003M11,Education & Entertainment,98.4,-0.86
2003M12,Education & Entertainment,98.33,-0.86
2004M01,Education & Entertainment,98.92,-0.25
2004M02,Education & Entertainment,98.18,-0.89
2004M03,Education & Entertainment,97.92,-1.15
2004M04,Education & Entertainment,98.23,-0.48
2004M05,Education & Entertainment,98.3,0.73
2004M06,Education & Entertainment,98.54,1.38
2004M07,Education & Entertainment,98.87,1.16
2004M08,Education & Entertainment,98.8,0.64
2004M09,Education & Entertainment,98.67,0.17
2004M10,Education & Entertainment,98.55,-0.02
2004M11,Education & Entertainment,98.29,-0.11
2004M12,Education & Entertainment,98.58,0.25
2005M01,Education & Entertainment,98.96,0.04
2005M02,Education & Entertainment,98.87,0.7
2005M03,Education & Entertainment,98.07,0.15
2005M04,Education & Entertainment,97.96,-0.27
2005M05,Education & Entertainment,97.73,-0.58
2005M06,Education & Entertainment,97.86,-0.69
2005M07,Education & Entertainment,98.17,-0.71
2005M08,Education & Entertainment,98.12,-0.69
2005M09,Education & Entertainment,98.34,-0.33
2005M10,Education & Entertainment,98.43,-0.12
2005M11,Education & Entertainment,98.33,0.04
2005M12,Education & Entertainment,98.32,-0.26
2006M01,Education & Entertainment,98.6,-0.36
2006M02,Education & Entertainment,98.69,-0.18
2006M03,Education & Entertainment,98.33,0.27
2006M04,Education & Entertainment,98.29,0.34
2006M05,Education & Entertainment,98.28,0.56
2006M06,Education & Entertainment,98.49,0.64
2006M07,Education & Entertainment,98.65,0.49
2006M08,Education & Entertainment,98.69,0.58
2006M09,Education & Entertainment,98.28,-0.06
2006M10,Education & Entertainment,98.31,-0.12
2006M11,Education & Entertainment,98.27,-0.06
2006M12,Education & Entertainment,98.28,-0.04
2007M01,Education & Entertainment,98.27,-0.33
2007M02,Education & Entertainment,100.27,1.6
2007M03,Education & Entertainment,98.6,0.27
2007M04,Education & Entertainment,98.65,0.37
2007M05,Education & Entertainment,98.62,0.35
2007M06,Education & Entertainment,98.95,0.47
2007M07,Education & Entertainment,99.5,0.86
2007M08,Education & Entertainment,99.34,0.66
2007M09,Education & Entertainment,98.94,0.67
2007M10,Education & Entertainment,99.12,0.82
2007M11,Education & Entertainment,99,0.74
2007M12,Education & Entertainment,99.12,0.85
2008M01,Education & Entertainment,99.58,1.33
2008M02,Education & Entertainment,101.15,0.88
2008M03,Education & Entertainment,99.08,0.49
2008M04,Education & Entertainment,99.52,0.88
2008M05,Education & Entertainment,99.56,0.95
2008M06,Education & Entertainment,100.17,1.23
2008M07,Education & Entertainment,101.61,2.12
2008M08,Education & Entertainment,101.56,2.23
2008M09,Education & Entertainment,100.77,1.85
2008M10,Education & Entertainment,100.84,1.74
2008M11,Education & Entertainment,100.24,1.25
2008M12,Education & Entertainment,99.89,0.78
2009M01,Education & Entertainment,101.1,1.53
2009M02,Education & Entertainment,99.02,-2.11
2009M03,Education & Entertainment,98.75,-0.33
2009M04,Education & Entertainment,98.81,-0.71
2009M05,Education & Entertainment,98.34,-1.23
2009M06,Education & Entertainment,98.06,-2.11
2009M07,Education & Entertainment,99.05,-2.52
2009M08,Education & Entertainment,98.88,-2.64
2009M09,Education & Entertainment,97.97,-2.78
2009M10,Education & Entertainment,97.72,-3.09
2009M11,Education & Entertainment,97.47,-2.76
2009M12,Education & Entertainment,97.3,-2.59
2010M01,Education & Entertainment,97.5,-3.56
2010M02,Education & Entertainment,99.83,0.82
2010M03,Education & Entertainment,97.57,-1.19
2010M04,Education & Entertainment,97.92,-0.9
2010M05,Education & Entertainment,97.87,-0.48
2010M06,Education & Entertainment,97.84,-0.22
2010M07,Education & Entertainment,99.58,0.54
2010M08,Education & Entertainment,99.17,0.29
2010M09,Education & Entertainment,98.78,0.83
2010M10,Education & Entertainment,98.83,1.14
2010M11,Education & Entertainment,98.58,1.14
2010M12,Education & Entertainment,98.44,1.17
2011M01,Education & Entertainment,98.88,1.42
2011M02,Education & Entertainment,99.98,0.15
2011M03,Education & Entertainment,98.37,0.82
2011M04,Education & Entertainment,98.45,0.54
2011M05,Education & Entertainment,98.14,0.28
2011M06,Education & Entertainment,98.71,0.89
2011M07,Education & Entertainment,100.22,0.64
2011M08,Education & Entertainment,99.86,0.7
2011M09,Education & Entertainment,99.1,0.32
2011M10,Education & Entertainment,99.08,0.25
2011M11,Education & Entertainment,98.65,0.07
2011M12,Education & Entertainment,98.59,0.15
2012M01,Education & Entertainment,99.5,0.63
2012M02,Education & Entertainment,98.56,-1.42
2012M03,Education & Entertainment,99,0.64
2012M04,Education & Entertainment,99.37,0.93
2012M05,Education & Entertainment,99.65,1.54
2012M06,Education & Entertainment,99.93,1.24
2012M07,Education & Entertainment,101.1,0.88
2012M08,Education & Entertainment,100.78,0.92
2012M09,Education & Entertainment,99.9,0.81
2012M10,Education & Entertainment,100.01,0.94
2012M11,Education & Entertainment,99.21,0.57
2012M12,Education & Entertainment,99.1,0.52
2013M01,Education & Entertainment,99.44,-0.06
2013M02,Education & Entertainment,102.3,3.79
2013M03,Education & Entertainment,99.05,0.05
2013M04,Education & Entertainment,99.62,0.25
2013M05,Education & Entertainment,99.23,-0.42
2013M06,Education & Entertainment,99.73,-0.2
2013M07,Education & Entertainment,101.19,0.09
2013M08,Education & Entertainment,100.87,0.09
2013M09,Education & Entertainment,100.65,0.75
2013M10,Education & Entertainment,100,-0.01
2013M11,Education & Entertainment,99.16,-0.05
2013M12,Education & Entertainment,98.82,-0.28
2014M01,Education & Entertainment,100.13,0.69
2014M02,Education & Entertainment,100.24,-2.01
2014M03,Education & Entertainment,98.97,-0.08
2014M04,Education & Entertainment,99.73,0.11
2014M05,Education & Entertainment,99.75,0.52
2014M06,Education & Entertainment,100.27,0.54
2014M07,Education & Entertainment,101.25,0.06
2014M08,Education & Entertainment,101.11,0.24
2014M09,Education & Entertainment,100.2,-0.45
2014M10,Education & Entertainment,99.93,-0.07
2014M11,Education & Entertainment,98.83,-0.33
2014M12,Education & Entertainment,98.82,0
2015M01,Education & Entertainment,98.61,-1.52
2015M02,Education & Entertainment,101.01,0.77
2015M03,Education & Entertainment,98.97,0
2015M04,Education & Entertainment,99.57,-0.16
2015M05,Education & Entertainment,99.53,-0.22
2015M06,Education & Entertainment,100.25,-0.02
2015M07,Education & Entertainment,101.36,0.11
2015M08,Education & Entertainment,101.16,0.05
2015M09,Education & Entertainment,100.14,-0.06
2015M10,Education & Entertainment,100.13,0.2
2015M11,Education & Entertainment,99.2,0.37
2015M12,Education & Entertainment,98.98,0.16
2016M01,Education & Entertainment,99.01,0.41
2016M02,Education & Entertainment,101.62,0.6
2016M03,Education & Entertainment,99.1,0.13
2016M04,Education & Entertainment,99.74,0.17
2016M05,Education & Entertainment,99.66,0.13
2016M06,Education & Entertainment,99.71,-0.54
2016M07,Education & Entertainment,101.15,-0.21
2016M08,Education & Entertainment,100.83,-0.33
2016M09,Education & Entertainment,100.25,0.11
2016M10,Education & Entertainment,100.32,0.19
2016M11,Education & Entertainment,99.36,0.16
2016M12,Education & Entertainment,99.25,0.27
2017M01,Education & Entertainment,100.8,1.81
2017M02,Education & Entertainment,100.12,-1.48
2017M03,Education & Entertainment,99.57,0.47
2017M04,Education & Entertainment,99.98,0.24
2017M05,Education & Entertainment,99.95,0.29
2017M06,Education & Entertainment,100.23,0.52
2017M07,Education & Entertainment,101.47,0.32
2017M08,Education & Entertainment,101.2,0.37
2017M09,Education & Entertainment,100.11,-0.14
2017M10,Education & Entertainment,100.44,0.12
2017M11,Education & Entertainment,99.69,0.33
2017M12,Education & Entertainment,99.95,0.71
2018M01,Education & Entertainment,99.34,-1.45
2018M02,Education & Entertainment,101.94,1.82
2018M03,Education & Entertainment,99.89,0.32
2018M04,Education & Entertainment,100.21,0.23
2018M05,Education & Entertainment,100.15,0.2
2018M06,Education & Entertainment,100.74,0.51
2018M07,Education & Entertainment,101.96,0.48
2018M08,Education & Entertainment,101.77,0.56
2018M09,Education & Entertainment,100.41,0.3
2018M10,Education & Entertainment,100.54,0.1
2018M11,Education & Entertainment,99.57,-0.12
2018M12,Education & Entertainment,99.75,-0.2
2019M01,Education & Entertainment,99.71,0.37
2019M02,Education & Entertainment,102.02,0.08
2019M03,Education & Entertainment,100.13,0.24
2019M04,Education & Entertainment,101.42,1.21
2019M05,Education & Entertainment,101.16,1.01
2019M06,Education & Entertainment,101.66,0.91
