Metric,Year and Month,Statistical value
Monthly Real Regular Earnings(NT),2010 APR,"38,719"
Monthly Real Regular Earnings(NT),2010 MAY,"38,810"
Monthly Real Regular Earnings(NT),2010 JUN,"38,690"
Monthly Real Regular Earnings(NT),2010 JUL,"38,489"
Monthly Real Regular Earnings(NT),2010 AUG,"38,593"
Monthly Real Regular Earnings(NT),2010 SEP,"38,555"
Monthly Real Regular Earnings(NT),2010 OCT,"38,477"
Monthly Real Regular Earnings(NT),2010 NOV,"38,358"
Monthly Real Regular Earnings(NT),2010 DEC,"38,952"
Monthly Real Regular Earnings(NT),2011 JAN,"38,963"
Monthly Real Regular Earnings(NT),2011 FEB,"38,002"
Monthly Real Regular Earnings(NT),2011 MAR,"38,876"
Monthly Real Regular Earnings(NT),2011 APR,"38,668"
Monthly Real Regular Earnings(NT),2011 MAY,"38,655"
Monthly Real Regular Earnings(NT),2011 JUN,"38,309"
Monthly Real Regular Earnings(NT),2011 JUL,"38,537"
Monthly Real Regular Earnings(NT),2011 AUG,"38,718"
Monthly Real Regular Earnings(NT),2011 SEP,"38,732"
Monthly Real Regular Earnings(NT),2011 OCT,"38,608"
Monthly Real Regular Earnings(NT),2011 NOV,"38,510"
Monthly Real Regular Earnings(NT),2011 DEC,"38,677"
Monthly Real Regular Earnings(NT),2012 JAN,"38,347"
Monthly Real Regular Earnings(NT),2012 FEB,"38,884"
Monthly Real Regular Earnings(NT),2012 MAR,"39,160"
Monthly Real Regular Earnings(NT),2012 APR,"38,843"
Monthly Real Regular Earnings(NT),2012 MAY,"38,666"
Monthly Real Regular Earnings(NT),2012 JUN,"38,332"
Monthly Real Regular Earnings(NT),2012 JUL,"38,218"
Monthly Real Regular Earnings(NT),2012 AUG,"37,641"
Monthly Real Regular Earnings(NT),2012 SEP,"37,791"
Monthly Real Regular Earnings(NT),2012 OCT,"37,914"
Monthly Real Regular Earnings(NT),2012 NOV,"38,167"
Monthly Real Regular Earnings(NT),2012 DEC,"38,253"
Monthly Real Regular Earnings(NT),2013 JAN,"38,498"
Monthly Real Regular Earnings(NT),2013 FEB,"37,862"
Monthly Real Regular Earnings(NT),2013 MAR,"38,816"
Monthly Real Regular Earnings(NT),2013 APR,"38,626"
Monthly Real Regular Earnings(NT),2013 MAY,"38,636"
Monthly Real Regular Earnings(NT),2013 JUN,"38,401"
Monthly Real Regular Earnings(NT),2013 JUL,"38,524"
Monthly Real Regular Earnings(NT),2013 AUG,"38,516"
Monthly Real Regular Earnings(NT),2013 SEP,"37,957"
Monthly Real Regular Earnings(NT),2013 OCT,"38,113"
Monthly Real Regular Earnings(NT),2013 NOV,"38,373"
Monthly Real Regular Earnings(NT),2013 DEC,"38,634"
Monthly Real Regular Earnings(NT),2014 JAN,"38,637"
Monthly Real Regular Earnings(NT),2014 FEB,"38,371"
Monthly Real Regular Earnings(NT),2014 MAR,"38,720"
Monthly Real Regular Earnings(NT),2014 APR,"38,571"
Monthly Real Regular Earnings(NT),2014 MAY,"38,556"
Monthly Real Regular Earnings(NT),2014 JUN,"38,446"
Monthly Real Regular Earnings(NT),2014 JUL,"38,785"
Monthly Real Regular Earnings(NT),2014 AUG,"38,381"
Monthly Real Regular Earnings(NT),2014 SEP,"38,493"
Monthly Real Regular Earnings(NT),2014 OCT,"38,564"
Monthly Real Regular Earnings(NT),2014 NOV,"38,720"
Monthly Real Regular Earnings(NT),2014 DEC,"39,300"
Monthly Real Regular Earnings(NT),2015 JAN,"39,611"
Monthly Real Regular Earnings(NT),2015 FEB,"39,066"
Monthly Real Regular Earnings(NT),2015 MAR,"39,531"
Monthly Real Regular Earnings(NT),2015 APR,"39,424"
Monthly Real Regular Earnings(NT),2015 MAY,"39,368"
Monthly Real Regular Earnings(NT),2015 JUN,"39,294"
Monthly Real Regular Earnings(NT),2015 JUL,"39,371"
Monthly Real Regular Earnings(NT),2015 AUG,"39,032"
Monthly Real Regular Earnings(NT),2015 SEP,"38,738"
Monthly Real Regular Earnings(NT),2015 OCT,"38,893"
Monthly Real Regular Earnings(NT),2015 NOV,"39,053"
Monthly Real Regular Earnings(NT),2015 DEC,"39,638"
Monthly Real Regular Earnings(NT),2016 JAN,"39,875"
Monthly Real Regular Earnings(NT),2016 FEB,"38,617"
Monthly Real Regular Earnings(NT),2016 MAR,"39,418"
Monthly Real Regular Earnings(NT),2016 APR,"39,319"
Monthly Real Regular Earnings(NT),2016 MAY,"39,493"
Monthly Real Regular Earnings(NT),2016 JUN,"39,243"
Monthly Real Regular Earnings(NT),2016 JUL,"39,203"
Monthly Real Regular Earnings(NT),2016 AUG,"39,325"
Monthly Real Regular Earnings(NT),2016 SEP,"38,970"
Monthly Real Regular Earnings(NT),2016 OCT,"38,642"
Monthly Real Regular Earnings(NT),2016 NOV,"38,901"
Monthly Real Regular Earnings(NT),2016 DEC,"39,562"
Monthly Real Regular Earnings(NT),2017 JAN,"39,524"
Monthly Real Regular Earnings(NT),2017 FEB,"39,361"
Monthly Real Regular Earnings(NT),2017 MAR,"39,918"
Monthly Real Regular Earnings(NT),2017 APR,"39,868"
Monthly Real Regular Earnings(NT),2017 MAY,"39,884"
Monthly Real Regular Earnings(NT),2017 JUN,"39,565"
Monthly Real Regular Earnings(NT),2017 JUL,"39,573"
Monthly Real Regular Earnings(NT),2017 AUG,"39,693"
Monthly Real Regular Earnings(NT),2017 SEP,"39,752"
Monthly Real Regular Earnings(NT),2017 OCT,"39,597"
Monthly Real Regular Earnings(NT),2017 NOV,"39,519"
Monthly Real Regular Earnings(NT),2017 DEC,"39,907"
Monthly Real Regular Earnings(NT),2018 JAN,"40,266"
Monthly Real Regular Earnings(NT),2018 FEB,"39,578"
Monthly Real Regular Earnings(NT),2018 MAR,"40,286"
Monthly Real Regular Earnings(NT),2018 APR,"39,982"
Monthly Real Regular Earnings(NT),2018 MAY,"40,203"
Monthly Real Regular Earnings(NT),2018 JUN,"39,967"
Monthly Real Regular Earnings(NT),2018 JUL,"39,948"
Monthly Real Regular Earnings(NT),2018 AUG,"40,254"
Monthly Real Regular Earnings(NT),2018 SEP,"40,108"
Monthly Real Regular Earnings(NT),2018 OCT,"40,169"
Monthly Real Regular Earnings(NT),2018 NOV,"40,426"
Monthly Real Regular Earnings(NT),2018 DEC,"40,767"
Monthly Real Regular Earnings(NT),2019 JAN,"41,122"
Monthly Real Regular Earnings(NT),2019 FEB,"40,276"
Monthly Real Regular Earnings(NT),2019 MAR,"40,947"
Monthly Real Regular Earnings(NT),2019 APR,"40,733"
Monthly Real Regular Earnings(NT),2019 MAY,"40,811"
Monthly Real Regular Earnings(NT),2019 JUN,"40,554"
Monthly Real Regular Earnings(NT),2019 JUL,"40,787"
Monthly Real Regular Earnings(NT),2019 AUG,"40,939"
Monthly Real Regular Earnings(NT),2019 SEP,"40,652"
Monthly Real Regular Earnings(NT),2019 OCT,"40,842"
Monthly Real Regular Earnings(NT),2019 NOV,"41,031"
Monthly Real Regular Earnings(NT),2019 DEC,"41,395"
Monthly Real Regular Earnings(NT),2020 JAN,"41,003"
Average Monthly Regular Working Hours(hours),1980 JAN,205.8
Average Monthly Regular Working Hours(hours),1980 FEB,190
Average Monthly Regular Working Hours(hours),1980 MAR,212.5
Average Monthly Regular Working Hours(hours),1980 APR,201.9
Average Monthly Regular Working Hours(hours),1980 MAY,207.5
Average Monthly Regular Working Hours(hours),1980 JUN,198
Average Monthly Regular Working Hours(hours),1980 JUL,210.2
Average Monthly Regular Working Hours(hours),1980 AUG,206.2
Average Monthly Regular Working Hours(hours),1980 SEP,199.9
Average Monthly Regular Working Hours(hours),1980 OCT,199.3
Average Monthly Regular Working Hours(hours),1980 NOV,197.5
Average Monthly Regular Working Hours(hours),1980 DEC,203.7
Average Monthly Regular Working Hours(hours),1981 JAN,201.3
Average Monthly Regular Working Hours(hours),1981 FEB,164.5
Average Monthly Regular Working Hours(hours),1981 MAR,197.2
Average Monthly Regular Working Hours(hours),1981 APR,196.6
Average Monthly Regular Working Hours(hours),1981 MAY,196.8
Average Monthly Regular Working Hours(hours),1981 JUN,199.3
Average Monthly Regular Working Hours(hours),1981 JUL,207.1
Average Monthly Regular Working Hours(hours),1981 AUG,203.4
Average Monthly Regular Working Hours(hours),1981 SEP,197
Average Monthly Regular Working Hours(hours),1981 OCT,196.6
Average Monthly Regular Working Hours(hours),1981 NOV,193.7
Average Monthly Regular Working Hours(hours),1981 DEC,203.3
Average Monthly Regular Working Hours(hours),1982 JAN,166.8
Average Monthly Regular Working Hours(hours),1982 FEB,188.9
Average Monthly Regular Working Hours(hours),1982 MAR,204.4
Average Monthly Regular Working Hours(hours),1982 APR,201.7
Average Monthly Regular Working Hours(hours),1982 MAY,203.6
Average Monthly Regular Working Hours(hours),1982 JUN,200.8
Average Monthly Regular Working Hours(hours),1982 JUL,207.6
Average Monthly Regular Working Hours(hours),1982 AUG,205.7
Average Monthly Regular Working Hours(hours),1982 SEP,201.5
Average Monthly Regular Working Hours(hours),1982 OCT,193.4
Average Monthly Regular Working Hours(hours),1982 NOV,198.3
Average Monthly Regular Working Hours(hours),1982 DEC,205.3
Average Monthly Regular Working Hours(hours),1983 JAN,197.5
Average Monthly Regular Working Hours(hours),1983 FEB,162
Average Monthly Regular Working Hours(hours),1983 MAR,202.1
Average Monthly Regular Working Hours(hours),1983 APR,199
Average Monthly Regular Working Hours(hours),1983 MAY,202.1
Average Monthly Regular Working Hours(hours),1983 JUN,199.2
Average Monthly Regular Working Hours(hours),1983 JUL,201.4
Average Monthly Regular Working Hours(hours),1983 AUG,207.1
Average Monthly Regular Working Hours(hours),1983 SEP,196.3
Average Monthly Regular Working Hours(hours),1983 OCT,189.1
Average Monthly Regular Working Hours(hours),1983 NOV,198.4
Average Monthly Regular Working Hours(hours),1983 DEC,201.9
Average Monthly Regular Working Hours(hours),1984 JAN,195.3
Average Monthly Regular Working Hours(hours),1984 FEB,169.3
Average Monthly Regular Working Hours(hours),1984 MAR,200
Average Monthly Regular Working Hours(hours),1984 APR,193.4
Average Monthly Regular Working Hours(hours),1984 MAY,203.7
Average Monthly Regular Working Hours(hours),1984 JUN,199.1
Average Monthly Regular Working Hours(hours),1984 JUL,202.8
Average Monthly Regular Working Hours(hours),1984 AUG,207.2
Average Monthly Regular Working Hours(hours),1984 SEP,189.4
Average Monthly Regular Working Hours(hours),1984 OCT,192.9
Average Monthly Regular Working Hours(hours),1984 NOV,196.6
Average Monthly Regular Working Hours(hours),1984 DEC,197.5
Average Monthly Regular Working Hours(hours),1985 JAN,198.8
Average Monthly Regular Working Hours(hours),1985 FEB,160.3
Average Monthly Regular Working Hours(hours),1985 MAR,195.3
Average Monthly Regular Working Hours(hours),1985 APR,196.3
Average Monthly Regular Working Hours(hours),1985 MAY,203.8
Average Monthly Regular Working Hours(hours),1985 JUN,193.4
Average Monthly Regular Working Hours(hours),1985 JUL,205.5
Average Monthly Regular Working Hours(hours),1985 AUG,204.1
Average Monthly Regular Working Hours(hours),1985 SEP,190.5
Average Monthly Regular Working Hours(hours),1985 OCT,191.1
Average Monthly Regular Working Hours(hours),1985 NOV,193.6
Average Monthly Regular Working Hours(hours),1985 DEC,197.6
Average Monthly Regular Working Hours(hours),1986 JAN,197.7
Average Monthly Regular Working Hours(hours),1986 FEB,155.9
Average Monthly Regular Working Hours(hours),1986 MAR,195.1
Average Monthly Regular Working Hours(hours),1986 APR,197
Average Monthly Regular Working Hours(hours),1986 MAY,202.4
Average Monthly Regular Working Hours(hours),1986 JUN,191.3
Average Monthly Regular Working Hours(hours),1986 JUL,205.5
Average Monthly Regular Working Hours(hours),1986 AUG,200
Average Monthly Regular Working Hours(hours),1986 SEP,192.7
Average Monthly Regular Working Hours(hours),1986 OCT,192
Average Monthly Regular Working Hours(hours),1986 NOV,190.3
Average Monthly Regular Working Hours(hours),1986 DEC,200
Average Monthly Regular Working Hours(hours),1987 JAN,174.1
Average Monthly Regular Working Hours(hours),1987 FEB,180.3
Average Monthly Regular Working Hours(hours),1987 MAR,196.4
Average Monthly Regular Working Hours(hours),1987 APR,196.8
Average Monthly Regular Working Hours(hours),1987 MAY,197.3
Average Monthly Regular Working Hours(hours),1987 JUN,198
Average Monthly Regular Working Hours(hours),1987 JUL,204.4
Average Monthly Regular Working Hours(hours),1987 AUG,200.6
Average Monthly Regular Working Hours(hours),1987 SEP,196
Average Monthly Regular Working Hours(hours),1987 OCT,188.5
Average Monthly Regular Working Hours(hours),1987 NOV,190.4
Average Monthly Regular Working Hours(hours),1987 DEC,199.6
Average Monthly Regular Working Hours(hours),1988 JAN,191.1
Average Monthly Regular Working Hours(hours),1988 FEB,162
Average Monthly Regular Working Hours(hours),1988 MAR,199.2
Average Monthly Regular Working Hours(hours),1988 APR,194.3
Average Monthly Regular Working Hours(hours),1988 MAY,197.8
Average Monthly Regular Working Hours(hours),1988 JUN,195.8
Average Monthly Regular Working Hours(hours),1988 JUL,197.6
Average Monthly Regular Working Hours(hours),1988 AUG,202.8
Average Monthly Regular Working Hours(hours),1988 SEP,188.6
Average Monthly Regular Working Hours(hours),1988 OCT,183
Average Monthly Regular Working Hours(hours),1988 NOV,193.7
Average Monthly Regular Working Hours(hours),1988 DEC,198.4
Average Monthly Regular Working Hours(hours),1989 JAN,190.1
Average Monthly Regular Working Hours(hours),1989 FEB,153.9
Average Monthly Regular Working Hours(hours),1989 MAR,197.5
Average Monthly Regular Working Hours(hours),1989 APR,188.1
Average Monthly Regular Working Hours(hours),1989 MAY,200.7
Average Monthly Regular Working Hours(hours),1989 JUN,194.3
Average Monthly Regular Working Hours(hours),1989 JUL,196.9
Average Monthly Regular Working Hours(hours),1989 AUG,202.9
Average Monthly Regular Working Hours(hours),1989 SEP,186.4
Average Monthly Regular Working Hours(hours),1989 OCT,181.6
Average Monthly Regular Working Hours(hours),1989 NOV,192.5
Average Monthly Regular Working Hours(hours),1989 DEC,189.8
Average Monthly Regular Working Hours(hours),1990 JAN,163.1
Average Monthly Regular Working Hours(hours),1990 FEB,179.6
Average Monthly Regular Working Hours(hours),1990 MAR,194.9
Average Monthly Regular Working Hours(hours),1990 APR,185.6
Average Monthly Regular Working Hours(hours),1990 MAY,193.8
Average Monthly Regular Working Hours(hours),1990 JUN,192.9
Average Monthly Regular Working Hours(hours),1990 JUL,196.1
Average Monthly Regular Working Hours(hours),1990 AUG,200.1
Average Monthly Regular Working Hours(hours),1990 SEP,183.8
Average Monthly Regular Working Hours(hours),1990 OCT,180.9
Average Monthly Regular Working Hours(hours),1990 NOV,190.5
Average Monthly Regular Working Hours(hours),1990 DEC,188.4
Average Monthly Regular Working Hours(hours),1991 JAN,193.8
Average Monthly Regular Working Hours(hours),1991 FEB,152.2
Average Monthly Regular Working Hours(hours),1991 MAR,186.9
Average Monthly Regular Working Hours(hours),1991 APR,185.4
Average Monthly Regular Working Hours(hours),1991 MAY,197.9
Average Monthly Regular Working Hours(hours),1991 JUN,186.6
Average Monthly Regular Working Hours(hours),1991 JUL,199.9
Average Monthly Regular Working Hours(hours),1991 AUG,200
Average Monthly Regular Working Hours(hours),1991 SEP,182.4
Average Monthly Regular Working Hours(hours),1991 OCT,183.8
Average Monthly Regular Working Hours(hours),1991 NOV,188.6
Average Monthly Regular Working Hours(hours),1991 DEC,188.7
Average Monthly Regular Working Hours(hours),1992 JAN,190.4
Average Monthly Regular Working Hours(hours),1992 FEB,154.5
Average Monthly Regular Working Hours(hours),1992 MAR,190.2
Average Monthly Regular Working Hours(hours),1992 APR,187
Average Monthly Regular Working Hours(hours),1992 MAY,190.9
Average Monthly Regular Working Hours(hours),1992 JUN,189.2
Average Monthly Regular Working Hours(hours),1992 JUL,199.6
Average Monthly Regular Working Hours(hours),1992 AUG,194.2
Average Monthly Regular Working Hours(hours),1992 SEP,184.3
Average Monthly Regular Working Hours(hours),1992 OCT,187.1
Average Monthly Regular Working Hours(hours),1992 NOV,185
Average Monthly Regular Working Hours(hours),1992 DEC,191.5
Average Monthly Regular Working Hours(hours),1993 JAN,155.1
Average Monthly Regular Working Hours(hours),1993 FEB,180.7
Average Monthly Regular Working Hours(hours),1993 MAR,194.1
Average Monthly Regular Working Hours(hours),1993 APR,185.3
Average Monthly Regular Working Hours(hours),1993 MAY,191.8
Average Monthly Regular Working Hours(hours),1993 JUN,189.8
Average Monthly Regular Working Hours(hours),1993 JUL,198.5
Average Monthly Regular Working Hours(hours),1993 AUG,195.8
Average Monthly Regular Working Hours(hours),1993 SEP,186.3
Average Monthly Regular Working Hours(hours),1993 OCT,183.5
Average Monthly Regular Working Hours(hours),1993 NOV,184.8
Average Monthly Regular Working Hours(hours),1993 DEC,196.4
Average Monthly Regular Working Hours(hours),1994 JAN,185.5
Average Monthly Regular Working Hours(hours),1994 FEB,152.7
Average Monthly Regular Working Hours(hours),1994 MAR,194.5
Average Monthly Regular Working Hours(hours),1994 APR,183.7
Average Monthly Regular Working Hours(hours),1994 MAY,193.4
Average Monthly Regular Working Hours(hours),1994 JUN,189.5
Average Monthly Regular Working Hours(hours),1994 JUL,190.9
Average Monthly Regular Working Hours(hours),1994 AUG,197.5
Average Monthly Regular Working Hours(hours),1994 SEP,184.6
Average Monthly Regular Working Hours(hours),1994 OCT,178.8
Average Monthly Regular Working Hours(hours),1994 NOV,191.2
Average Monthly Regular Working Hours(hours),1994 DEC,192.8
Average Monthly Regular Working Hours(hours),1995 JAN,174.8
Average Monthly Regular Working Hours(hours),1995 FEB,160.9
Average Monthly Regular Working Hours(hours),1995 MAR,194.5
Average Monthly Regular Working Hours(hours),1995 APR,176.6
Average Monthly Regular Working Hours(hours),1995 MAY,196.8
Average Monthly Regular Working Hours(hours),1995 JUN,187.5
Average Monthly Regular Working Hours(hours),1995 JUL,191.8
Average Monthly Regular Working Hours(hours),1995 AUG,198.5
Average Monthly Regular Working Hours(hours),1995 SEP,182.6
Average Monthly Regular Working Hours(hours),1995 OCT,177.4
Average Monthly Regular Working Hours(hours),1995 NOV,188.5
Average Monthly Regular Working Hours(hours),1995 DEC,185.4
Average Monthly Regular Working Hours(hours),1996 JAN,188.3
Average Monthly Regular Working Hours(hours),1996 FEB,154.8
Average Monthly Regular Working Hours(hours),1996 MAR,182.5
Average Monthly Regular Working Hours(hours),1996 APR,181.9
Average Monthly Regular Working Hours(hours),1996 MAY,195
Average Monthly Regular Working Hours(hours),1996 JUN,181.4
Average Monthly Regular Working Hours(hours),1996 JUL,195
Average Monthly Regular Working Hours(hours),1996 AUG,194.3
Average Monthly Regular Working Hours(hours),1996 SEP,178.9
Average Monthly Regular Working Hours(hours),1996 OCT,180.9
Average Monthly Regular Working Hours(hours),1996 NOV,186.2
Average Monthly Regular Working Hours(hours),1996 DEC,187.7
Average Monthly Regular Working Hours(hours),1997 JAN,187.6
Average Monthly Regular Working Hours(hours),1997 FEB,147.3
Average Monthly Regular Working Hours(hours),1997 MAR,186
Average Monthly Regular Working Hours(hours),1997 APR,183.6
Average Monthly Regular Working Hours(hours),1997 MAY,193.4
Average Monthly Regular Working Hours(hours),1997 JUN,182.5
Average Monthly Regular Working Hours(hours),1997 JUL,197.6
Average Monthly Regular Working Hours(hours),1997 AUG,190
Average Monthly Regular Working Hours(hours),1997 SEP,183.4
Average Monthly Regular Working Hours(hours),1997 OCT,182.3
Average Monthly Regular Working Hours(hours),1997 NOV,178.4
Average Monthly Regular Working Hours(hours),1997 DEC,192.3
Average Monthly Regular Working Hours(hours),1998 JAN,155.3
Average Monthly Regular Working Hours(hours),1998 FEB,172.5
Average Monthly Regular Working Hours(hours),1998 MAR,187.9
Average Monthly Regular Working Hours(hours),1998 APR,183
Average Monthly Regular Working Hours(hours),1998 MAY,179.5
Average Monthly Regular Working Hours(hours),1998 JUN,185.2
Average Monthly Regular Working Hours(hours),1998 JUL,192.1
Average Monthly Regular Working Hours(hours),1998 AUG,186.3
Average Monthly Regular Working Hours(hours),1998 SEP,186
Average Monthly Regular Working Hours(hours),1998 OCT,180.2
Average Monthly Regular Working Hours(hours),1998 NOV,177.5
Average Monthly Regular Working Hours(hours),1998 DEC,186
Average Monthly Regular Working Hours(hours),1999 JAN,177.9
Average Monthly Regular Working Hours(hours),1999 FEB,143
Average Monthly Regular Working Hours(hours),1999 MAR,189
Average Monthly Regular Working Hours(hours),1999 APR,182.3
Average Monthly Regular Working Hours(hours),1999 MAY,183.3
Average Monthly Regular Working Hours(hours),1999 JUN,180.5
Average Monthly Regular Working Hours(hours),1999 JUL,190.3
Average Monthly Regular Working Hours(hours),1999 AUG,187.1
Average Monthly Regular Working Hours(hours),1999 SEP,175.2
Average Monthly Regular Working Hours(hours),1999 OCT,183.4
Average Monthly Regular Working Hours(hours),1999 NOV,181.8
Average Monthly Regular Working Hours(hours),1999 DEC,190.3
Average Monthly Regular Working Hours(hours),2000 JAN,182
Average Monthly Regular Working Hours(hours),2000 FEB,150.1
Average Monthly Regular Working Hours(hours),2000 MAR,188.8
Average Monthly Regular Working Hours(hours),2000 APR,174.6
Average Monthly Regular Working Hours(hours),2000 MAY,187.9
Average Monthly Regular Working Hours(hours),2000 JUN,181.5
Average Monthly Regular Working Hours(hours),2000 JUL,184.9
Average Monthly Regular Working Hours(hours),2000 AUG,188
Average Monthly Regular Working Hours(hours),2000 SEP,179.2
Average Monthly Regular Working Hours(hours),2000 OCT,180.9
Average Monthly Regular Working Hours(hours),2000 NOV,184.9
Average Monthly Regular Working Hours(hours),2000 DEC,179.5
Average Monthly Regular Working Hours(hours),2001 JAN,151.1
Average Monthly Regular Working Hours(hours),2001 FEB,163.7
Average Monthly Regular Working Hours(hours),2001 MAR,180.6
Average Monthly Regular Working Hours(hours),2001 APR,167.7
Average Monthly Regular Working Hours(hours),2001 MAY,180.4
Average Monthly Regular Working Hours(hours),2001 JUN,170
Average Monthly Regular Working Hours(hours),2001 JUL,177.3
Average Monthly Regular Working Hours(hours),2001 AUG,183.7
Average Monthly Regular Working Hours(hours),2001 SEP,163.7
Average Monthly Regular Working Hours(hours),2001 OCT,173.2
Average Monthly Regular Working Hours(hours),2001 NOV,177.3
Average Monthly Regular Working Hours(hours),2001 DEC,173.4
Average Monthly Regular Working Hours(hours),2002 JAN,179.3
Average Monthly Regular Working Hours(hours),2002 FEB,129.6
Average Monthly Regular Working Hours(hours),2002 MAR,174
Average Monthly Regular Working Hours(hours),2002 APR,172
Average Monthly Regular Working Hours(hours),2002 MAY,180.1
Average Monthly Regular Working Hours(hours),2002 JUN,167.5
Average Monthly Regular Working Hours(hours),2002 JUL,184.3
Average Monthly Regular Working Hours(hours),2002 AUG,180.3
Average Monthly Regular Working Hours(hours),2002 SEP,170.9
Average Monthly Regular Working Hours(hours),2002 OCT,178.6
Average Monthly Regular Working Hours(hours),2002 NOV,173.9
Average Monthly Regular Working Hours(hours),2002 DEC,178.5
Average Monthly Regular Working Hours(hours),2003 JAN,172.8
Average Monthly Regular Working Hours(hours),2003 FEB,137.3
Average Monthly Regular Working Hours(hours),2003 MAR,173.4
Average Monthly Regular Working Hours(hours),2003 APR,176.4
Average Monthly Regular Working Hours(hours),2003 MAY,175.2
Average Monthly Regular Working Hours(hours),2003 JUN,167.4
Average Monthly Regular Working Hours(hours),2003 JUL,184.1
Average Monthly Regular Working Hours(hours),2003 AUG,175.2
Average Monthly Regular Working Hours(hours),2003 SEP,172
Average Monthly Regular Working Hours(hours),2003 OCT,178.3
Average Monthly Regular Working Hours(hours),2003 NOV,168.8
Average Monthly Regular Working Hours(hours),2003 DEC,183.4
Average Monthly Regular Working Hours(hours),2004 JAN,146.6
Average Monthly Regular Working Hours(hours),2004 FEB,164.4
Average Monthly Regular Working Hours(hours),2004 MAR,183.4
Average Monthly Regular Working Hours(hours),2004 APR,177.6
Average Monthly Regular Working Hours(hours),2004 MAY,173.8
Average Monthly Regular Working Hours(hours),2004 JUN,173
Average Monthly Regular Working Hours(hours),2004 JUL,180.2
Average Monthly Regular Working Hours(hours),2004 AUG,175.4
Average Monthly Regular Working Hours(hours),2004 SEP,172.8
Average Monthly Regular Working Hours(hours),2004 OCT,172.6
Average Monthly Regular Working Hours(hours),2004 NOV,177.8
Average Monthly Regular Working Hours(hours),2004 DEC,183.7
Average Monthly Regular Working Hours(hours),2005 JAN,174.6
Average Monthly Regular Working Hours(hours),2005 FEB,129.5
Average Monthly Regular Working Hours(hours),2005 MAR,183.5
Average Monthly Regular Working Hours(hours),2005 APR,168.3
Average Monthly Regular Working Hours(hours),2005 MAY,177.3
Average Monthly Regular Working Hours(hours),2005 JUN,177.5
Average Monthly Regular Working Hours(hours),2005 JUL,172.7
Average Monthly Regular Working Hours(hours),2005 AUG,182.1
Average Monthly Regular Working Hours(hours),2005 SEP,174.9
Average Monthly Regular Working Hours(hours),2005 OCT,169.9
Average Monthly Regular Working Hours(hours),2005 NOV,178.2
Average Monthly Regular Working Hours(hours),2005 DEC,179.9
Average Monthly Regular Working Hours(hours),2006 JAN,165.9
Average Monthly Regular Working Hours(hours),2006 FEB,144.9
Average Monthly Regular Working Hours(hours),2006 MAR,183.6
Average Monthly Regular Working Hours(hours),2006 APR,163.3
Average Monthly Regular Working Hours(hours),2006 MAY,174.4
Average Monthly Regular Working Hours(hours),2006 JUN,177.9
Average Monthly Regular Working Hours(hours),2006 JUL,174.7
Average Monthly Regular Working Hours(hours),2006 AUG,183.8
Average Monthly Regular Working Hours(hours),2006 SEP,173.9
Average Monthly Regular Working Hours(hours),2006 OCT,167.3
Average Monthly Regular Working Hours(hours),2006 NOV,177.2
Average Monthly Regular Working Hours(hours),2006 DEC,174.2
Average Monthly Regular Working Hours(hours),2007 JAN,179.3
Average Monthly Regular Working Hours(hours),2007 FEB,127.8
Average Monthly Regular Working Hours(hours),2007 MAR,180.4
Average Monthly Regular Working Hours(hours),2007 APR,166
Average Monthly Regular Working Hours(hours),2007 MAY,179.6
Average Monthly Regular Working Hours(hours),2007 JUN,167.7
Average Monthly Regular Working Hours(hours),2007 JUL,179.3
Average Monthly Regular Working Hours(hours),2007 AUG,183.5
Average Monthly Regular Working Hours(hours),2007 SEP,161.9
Average Monthly Regular Working Hours(hours),2007 OCT,178.2
Average Monthly Regular Working Hours(hours),2007 NOV,177.6
Average Monthly Regular Working Hours(hours),2007 DEC,174.6
Average Monthly Regular Working Hours(hours),2008 JAN,178.9
Average Monthly Regular Working Hours(hours),2008 FEB,138.7
Average Monthly Regular Working Hours(hours),2008 MAR,173.5
Average Monthly Regular Working Hours(hours),2008 APR,171.6
Average Monthly Regular Working Hours(hours),2008 MAY,174.6
Average Monthly Regular Working Hours(hours),2008 JUN,171.3
Average Monthly Regular Working Hours(hours),2008 JUL,180.5
Average Monthly Regular Working Hours(hours),2008 AUG,174.7
Average Monthly Regular Working Hours(hours),2008 SEP,173.8
Average Monthly Regular Working Hours(hours),2008 OCT,177.7
Average Monthly Regular Working Hours(hours),2008 NOV,165.6
Average Monthly Regular Working Hours(hours),2008 DEC,176.7
Average Monthly Regular Working Hours(hours),2009 JAN,141.2
Average Monthly Regular Working Hours(hours),2009 FEB,159.1
Average Monthly Regular Working Hours(hours),2009 MAR,174.9
Average Monthly Regular Working Hours(hours),2009 APR,173.7
Average Monthly Regular Working Hours(hours),2009 MAY,157.7
Average Monthly Regular Working Hours(hours),2009 JUN,177.1
Average Monthly Regular Working Hours(hours),2009 JUL,182.2
Average Monthly Regular Working Hours(hours),2009 AUG,170.5
Average Monthly Regular Working Hours(hours),2009 SEP,176.5
Average Monthly Regular Working Hours(hours),2009 OCT,177.2
Average Monthly Regular Working Hours(hours),2009 NOV,172
Average Monthly Regular Working Hours(hours),2009 DEC,182.9
Average Monthly Regular Working Hours(hours),2010 JAN,169.2
Average Monthly Regular Working Hours(hours),2010 FEB,134.4
Average Monthly Regular Working Hours(hours),2010 MAR,183.1
Average Monthly Regular Working Hours(hours),2010 APR,172
